nb_sow, date, nb_S, nb_IN, nb_IP, nb_CP, nb_S_o, nb_IN_o, nb_IP_o, nb_CP_o, seed
91.0,154.0,0.0,542.0,340.0,119.0,0.0,58.0,350.0,503.0,0
91.0,154.0,0.0,532.0,331.0,138.0,0.0,54.0,284.0,573.0,3
91.0,154.0,0.0,512.0,340.0,149.0,0.0,51.0,295.0,565.0,4
91.0,147.0,10.0,944.0,400.0,558.0,0.0,0.0,0.0,0.0,9
91.0,147.0,12.0,942.0,336.0,622.0,0.0,0.0,0.0,0.0,4
91.0,147.0,20.0,931.0,430.0,531.0,0.0,0.0,0.0,0.0,0
91.0,147.0,12.0,942.0,336.0,622.0,0.0,0.0,0.0,0.0,4
91.0,154.0,0.0,532.0,331.0,138.0,0.0,54.0,284.0,573.0,3
91.0,147.0,20.0,931.0,430.0,531.0,0.0,0.0,0.0,0.0,0
91.0,122.0,1001.0,1.0,178.0,732.0,0.0,0.0,0.0,0.0,2
91.0,122.0,1001.0,0.0,155.0,756.0,0.0,0.0,0.0,0.0,6
91.0,122.0,1001.0,0.0,157.0,754.0,0.0,0.0,0.0,0.0,7
91.0,122.0,1001.0,0.0,157.0,754.0,0.0,0.0,0.0,0.0,7
91.0,122.0,1001.0,0.0,344.0,567.0,0.0,0.0,0.0,0.0,9
90.0,154.0,0.0,520.0,359.0,111.0,0.0,60.0,360.0,481.0,9
90.0,154.0,0.0,505.0,285.0,200.0,0.0,54.0,162.0,685.0,8
90.0,154.0,0.0,531.0,308.0,151.0,0.0,50.0,259.0,592.0,4
90.0,147.0,15.0,937.0,307.0,632.0,0.0,0.0,0.0,0.0,3
90.0,154.0,0.0,504.0,270.0,216.0,0.0,62.0,155.0,684.0,2
90.0,154.0,0.0,504.0,270.0,216.0,0.0,62.0,155.0,684.0,2
90.0,147.0,16.0,914.0,240.0,721.0,0.0,0.0,0.0,0.0,6
90.0,147.0,7.0,926.0,216.0,742.0,0.0,0.0,0.0,0.0,2
90.0,147.0,11.0,944.0,181.0,755.0,0.0,0.0,0.0,0.0,7
90.0,147.0,16.0,914.0,240.0,721.0,0.0,0.0,0.0,0.0,6
90.0,122.0,990.0,0.0,163.0,738.0,0.0,0.0,0.0,0.0,6
90.0,122.0,990.0,0.0,278.0,623.0,0.0,0.0,0.0,0.0,1
90.0,122.0,990.0,1.0,165.0,735.0,0.0,0.0,0.0,0.0,7
90.0,122.0,990.0,0.0,351.0,550.0,0.0,0.0,0.0,0.0,5
90.0,122.0,990.0,0.0,351.0,550.0,0.0,0.0,0.0,0.0,5
89.0,154.0,0.0,505.0,356.0,118.0,0.0,53.0,327.0,511.0,5
89.0,154.0,0.0,503.0,248.0,228.0,0.0,55.0,176.0,660.0,8
89.0,154.0,0.0,503.0,248.0,228.0,0.0,55.0,176.0,660.0,8
89.0,154.0,0.0,520.0,341.0,118.0,0.0,49.0,374.0,468.0,9
89.0,147.0,20.0,899.0,212.0,739.0,0.0,0.0,0.0,0.0,6
89.0,154.0,0.0,527.0,241.0,211.0,0.0,52.0,164.0,675.0,2
89.0,147.0,17.0,923.0,195.0,735.0,0.0,0.0,0.0,0.0,7
89.0,147.0,15.0,928.0,386.0,541.0,0.0,0.0,0.0,0.0,9
89.0,147.0,17.0,923.0,195.0,735.0,0.0,0.0,0.0,0.0,7
89.0,147.0,20.0,899.0,212.0,739.0,0.0,0.0,0.0,0.0,6
89.0,122.0,979.0,0.0,354.0,537.0,0.0,0.0,0.0,0.0,0
89.0,122.0,979.0,0.0,196.0,695.0,0.0,0.0,0.0,0.0,8
89.0,122.0,979.0,1.0,332.0,558.0,0.0,0.0,0.0,0.0,9
89.0,122.0,979.0,0.0,284.0,607.0,0.0,0.0,0.0,0.0,1
89.0,122.0,979.0,0.0,332.0,559.0,0.0,0.0,0.0,0.0,5
88.0,154.0,0.0,495.0,251.0,222.0,0.0,52.0,165.0,664.0,2
88.0,147.0,27.0,898.0,374.0,550.0,0.0,0.0,0.0,0.0,9
88.0,154.0,0.0,475.0,333.0,160.0,0.0,58.0,275.0,548.0,1
88.0,154.0,0.0,495.0,254.0,219.0,0.0,54.0,168.0,659.0,7
88.0,154.0,0.0,504.0,248.0,216.0,0.0,52.0,157.0,672.0,6
88.0,154.0,0.0,495.0,251.0,222.0,0.0,52.0,165.0,664.0,2
88.0,147.0,19.0,898.0,299.0,633.0,0.0,0.0,0.0,0.0,4
88.0,147.0,27.0,898.0,374.0,550.0,0.0,0.0,0.0,0.0,9
88.0,147.0,17.0,910.0,178.0,744.0,0.0,0.0,0.0,0.0,7
88.0,147.0,11.0,910.0,394.0,534.0,0.0,0.0,0.0,0.0,5
88.0,122.0,968.0,0.0,148.0,733.0,0.0,0.0,0.0,0.0,8
88.0,122.0,968.0,0.0,361.0,520.0,0.0,0.0,0.0,0.0,5
88.0,122.0,968.0,1.0,292.0,588.0,0.0,0.0,0.0,0.0,4
88.0,122.0,968.0,0.0,140.0,741.0,0.0,0.0,0.0,0.0,2
88.0,122.0,968.0,1.0,173.0,707.0,0.0,0.0,0.0,0.0,6
87.0,154.0,0.0,514.0,302.0,141.0,0.0,50.0,275.0,546.0,4
